age,ast,awards,blk,drb,efg_pct,fg,fg2,fg2_pct,fg2a,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,games,games_started,mp,name_display,orb,pf,pos,pts,stl,team_name_abbr,tov,trb
25,46,,28,134,.583,109,109,.596,183,0,.000,4,.583,187,64,.667,96,45,2,682,Bruno Fernando,59,107,C,282,25,ATL,44,193
35,55,,6,88,.516,83,53,.546,97,30,.323,93,.437,190,84,.857,98,49,0,630,Danilo Gallinari,20,50,SF,280,14,3TM,23,108
25,64,,24,80,.488,86,57,.509,112,29,.309,94,.417,206,76,.745,102,60,11,960,Josh Okogie,74,68,SG,277,48,PHO,36,154
21,110,,27,198,.533,95,42,.500,84,53,.368,144,.417,228,33,.805,41,69,1,897,Jaylin Williams,36,98,C,276,28,OKC,34,234
28,65,,33,84,.539,106,96,.578,166,10,.250,40,.515,206,52,.800,65,56,3,763,Jock Landale,88,74,C,274,20,HOU,31,172
20,166,,9,76,.502,102,90,.563,160,12,.218,55,.474,215,52,.667,78,61,3,876,Blake Wesley,18,89,SG,268,29,SAS,55,94
28,64,,15,136,.522,108,85,.559,152,23,.299,77,.472,229,26,.667,39,65,9,1031,Jae'Sean Tate,61,137,SF,265,42,HOU,37,197
24,48,,14,72,.468,91,54,.435,124,37,.336,110,.389,234,41,.759,54,48,26,984,Cam Reddish,27,64,SF,260,47,LAL,31,99
25,41,,60,161,.553,97,72,.537,134,25,.391,64,.490,198,34,.680,50,57,17,740,Mo Bamba,77,101,C,253,22,PHI,39,238
21,29,,4,56,.563,80,8,.615,13,72,.373,193,.388,206,21,.808,26,59,13,815,Caleb Houstan,28,61,SF,253,15,ORL,16,84
